Customer Ref Number,Email,First Name,Surname,Birth Date,Rewards Program ID
0032700000wnbIXAAY,<FSAWYER.10000.0037@aol.marketingclouddemo.com>,Francoise,Sawyer,1975-08-11,
0032700000OCtWvAAL,<KJOE.10000.0038@yahoo.marketingclouddemo.com>,Kathrin,Joe,1970-05-18,
0032700000OmB5bAAF,<YPRIDE.10000.0039@gmail.marketingclouddemo.com>,Yanira,Pride,1995-10-03,
0032700000Ox0UNAAZ,<JKERNS.10000.0040@hotmail.marketingclouddemo.com>,Janis,Kerns,1999-04-15,
0032700000npcq2AAA,<RSQUIRES.10000.0041@gmail.marketingclouddemo.com>,Renato,Squires,1956-06-10,
0032700000wXLHeAAO,<DRIDGEWAY.10000.0042@yahoo.marketingclouddemo.com>,Dawn,Ridgeway,1999-02-15,
0032700000piqCLAAY,<LARTHUR.10000.0043@yahoo.marketingclouddemo.com>,Lenard,Arthur,1999-02-19,
0032700000Ok8quAAB,<ESALCEDO.10000.0044@hotmail.marketingclouddemo.com>,Eldon,Salcedo,1952-01-23,992745583
00327000004YVEEAA4,<ALOYD.10000.0045@yahoo.marketingclouddemo.com>,Alonso,Loyd,1997-12-11,275499364
0032700000EeXf5AAF,<MCUMMINGS.10000.0046@yahoo.marketingclouddemo.com>,Miquel,Cummings,1979-02-15,
0032700000Bav6SAAR,<EBOYLE.10000.0047@hotmail.marketingclouddemo.com>,Eugenia,Boyle,1976-08-06,
0032700000m5TJAAA2,<SHOOK.10000.0048@yahoo.marketingclouddemo.com>,Sudie,Hook,1962-02-02,883437773
0032700000K0wkPAAR,<STREMBLAY.10000.0049@gmail.marketingclouddemo.com>,Stevie,Tremblay,1972-10-25,
00327000003VuWrAAK,<RFERRARO.10000.0050@hotmail.marketingclouddemo.com>,Rodrigo,Ferraro,1968-01-15,
0032700000wmIUkAAM,<CHARWELL.10000.0051@yahoo.marketingclouddemo.com>,Chaya,Harwell,1992-11-23,
0032700000yQ55RAAS,<EBIDDLE.10000.0052@gmail.marketingclouddemo.com>,Edgardo,Biddle,1946-05-24,
0032700000UcmlhAAB,<KFRITZ.10000.0053@yahoo.marketingclouddemo.com>,Kaitlin,Fritz,1963-07-05,285396838
0032700000ay71zAAA,<WSTEVENSON.10000.0054@hotmail.marketingclouddemo.com>,Wilfredo,Stevenson,1991-09-15,
0032700000mk26uAAA,<KFARMER.10000.0055@yahoo.marketingclouddemo.com>,Karine,Farmer,1997-10-31,154513743
0032700000UfcApAAJ,<HPELTIER.10000.0056@yahoo.marketingclouddemo.com>,Heidi,Peltier,1990-09-26,
0032700000ElZ0LAAV,<MMONTAGUE.10000.0057@gmail.marketingclouddemo.com>,Meghann,Montague,1956-05-20,
00327000002EjZnAAK,<RDEAL.10000.0058@yahoo.marketingclouddemo.com>,Reynalda,Deal,1987-06-23,193134536
0032700000DaahBAAR,<LLACROIX.10000.0059@hotmail.marketingclouddemo.com>,Lonny,Lacroix,1982-12-02,
00327000008fCSPAA2,<PHOFF.10000.0060@yahoo.marketingclouddemo.com>,Priscila,Hoff,1963-02-08,
0032700000JBKDsAAP,<PCOATS.10000.0061@yahoo.marketingclouddemo.com>,Patrick,Coats,1972-06-12,
0032700000uEzMvAAK,<JPOWERS.10000.0062@gmail.marketingclouddemo.com>,Jackson,Powers,1998-06-27,606354564
0032700000K5wrvAAB,<RREGALADO.10000.0063@verizon.marketingclouddemo.com>,Ryan,Regalado,1953-10-12,821467106
0032700000fUKo6AAG,<ZHUSTON.10000.0064@yahoo.marketingclouddemo.com>,Zella,Huston,1986-07-16,389646370
00327000000ywZ0AAI,<JVEGA.10000.0065@hotmail.marketingclouddemo.com>,Jocelyn,Vega,1990-01-13,
0032700000fSCSyAAO,<MBLANCHETTE.10000.0066@yahoo.marketingclouddemo.com>,Marco,Blanchette,1993-09-17,
00327000008TNkkAAG,<ANEELY.10000.0067@yahoo.marketingclouddemo.com>,Azzie,Neely,1932-07-06,
0032700000xsJUUAA2,<KSTEVENSON.10000.0068@gmail.marketingclouddemo.com>,Karl,Stevenson,1972-06-03,
003270000023mLSAAY,<MDUPUIS.10000.0069@yahoo.marketingclouddemo.com>,Marion,Dupuis,1988-03-31,
0032700000FpOAKAA3,<LFALLS.10000.0070@gmail.marketingclouddemo.com>,Lisbeth,Falls,1947-05-16,
0032700000elh3mAAA,<AFRIES.10000.0071@gmail.marketingclouddemo.com>,August,Fries,1951-09-06,925126791
0032700000TPwFoAAL,<CMICHAEL.10000.0072@yahoo.marketingclouddemo.com>,Caroll,Michael,1973-06-01,
0032700000CMz2eAAD,<MSOUTHARD.10000.0073@gmail.marketingclouddemo.com>,Malik,Southard,1989-03-01,444198620
0032700000rKkNFAA0,<TSYLVESTER.10000.0074@gmail.marketingclouddemo.com>,Tyrone,Sylvester,1989-09-17,367454631
0032700000x1N5mAAE,<WHARRINGTON.10000.0075@hotmail.marketingclouddemo.com>,Wallace,Harrington,1957-08-06,
00327000000xfTJAAY,<VCHANDLER.10000.0076@yahoo.marketingclouddemo.com>,Virgilio,Chandler,1998-04-17,502126835
0032700000eWU7qAAG,<KTAN.10000.0077@hotmail.marketingclouddemo.com>,Kelly,Tan,1993-04-28,418876948
0032700000iGDEUAA4,<ACHU.10000.0078@gmail.marketingclouddemo.com>,Antone,Chu,1970-06-18,
0032700000sfbRhAAI,<ACHARLTON.10000.0079@yahoo.marketingclouddemo.com>,Ali,Charlton,1998-06-24,
0032700000iq02YAAQ,<SCHUN.10000.0080@hotmail.marketingclouddemo.com>,Stephen,Chun,1982-03-13,
00327000001NdeUAAS,<CAPONTE.10000.0081@hotmail.marketingclouddemo.com>,Cruz,Aponte,1999-05-18,
003270000037Z3SAAU,<VALLRED.10000.0082@hotmail.marketingclouddemo.com>,Verna,Allred,1988-05-09,323658989
0032700000a0iXrAAI,<EDAMICO.10000.0083@gmail.marketingclouddemo.com>,Enola,Damico,1987-01-21,
0032700000vbopnAAA,<HCOTTRELL.10000.0084@yahoo.marketingclouddemo.com>,Hulda,Cottrell,1953-10-25,
0032700000kXLZzAAO,<MBEAM.10000.0085@yahoo.marketingclouddemo.com>,Minh,Beam,1975-04-27,
00327000007I65VAAS,<RLUGO.10000.0086@gmail.marketingclouddemo.com>,Rubin,Lugo,1989-03-06,
003270000040oyjAAA,<SCONWAY.10000.0087@gmail.marketingclouddemo.com>,Sonny,Conway,1984-09-06,
00327000004s4iVAAQ,<TPARROTT.10000.0088@hotmail.marketingclouddemo.com>,Thanh,Parrott,1958-07-24,649801744
0032700000crOViAAM,<NDOBBS.10000.0089@hotmail.marketingclouddemo.com>,Nigel,Dobbs,1951-12-17,
0032700000Xq1dfAAB,<ACRUM.10000.0090@hotmail.marketingclouddemo.com>,Arlen,Crum,1959-03-22,
0032700000uQddNAAS,<RANDRADE.10000.0091@yahoo.marketingclouddemo.com>,Rickie,Andrade,1983-08-26,662265999
0032700000DMpfuAAD,<SLOONEY.10000.0092@hotmail.marketingclouddemo.com>,Shari,Looney,1934-10-15,
0032700000iHB5EAAW,<KMATTHEWS.10000.0093@gmail.marketingclouddemo.com>,Kemberly,Matthews,1967-11-22,443597108
00327000003pUjdAAE,<ALANDRY.10000.0094@gmail.marketingclouddemo.com>,Arnold,Landry,1993-04-27,
0032700000aKH4nAAG,<IGRIFFIS.10000.0095@gmail.marketingclouddemo.com>,Israel,Griffis,1972-04-07,
00327000005bjfmAAA,<GDUPRE.10000.0096@yahoo.marketingclouddemo.com>,Gita,Dupre,1949-03-06,499468402
0032700000GBOIzAAP,<DVILLAREAL.10000.0097@hotmail.marketingclouddemo.com>,Duane,Villareal,1971-06-14,
00327000003UKTnAAO,<FMAYBERRY.10000.0098@hotmail.marketingclouddemo.com>,Frank,Mayberry,1960-09-13,803263193
0032700000rIg11AAC,<MNORFLEET.10000.0099@hotmail.marketingclouddemo.com>,Mac,Norfleet,1987-10-22,
